1491.8,0.99,0.0907,0.019,0.199,0.103
1499.8,0.976,0.0861,-0.011,0.198,0.103
1507.8,0.95,0.0791,0.032,0.208,0.105
1515.7,0.956,0.085,0.018,0.203,0.105
1523.8,0.945,0.0802,0.01,0.204,0.106
1531.7,0.975,0.0956,-0.002,0.193,0.107
1539.7,0.97,0.089,-0.052,0.189,0.106
1547.7,0.954,0.0917,0.011,0.197,0.107
1555.5,0.957,0.0911,-0.005,0.195,0.107
1563.7,0.956,0.0908,-0.016,0.193,0.107
1571.7,0.97,0.0959,-0.012,0.188,0.108
1579.6,0.971,0.0959,-0.016,0.187,0.111
1587.7,0.935,0.0852,0.009,0.197,0.109
1595.7,0.938,0.0856,0.024,0.197,0.11
1603.7,0.906,0.0737,0.106,0.216,0.111
1611.7,0.94,0.0825,0.031,0.199,0.111
1620.1,0.975,0.0945,0.031,0.191,0.111
1628.1,0.947,0.0841,0.069,0.202,0.113
1636.1,0.957,0.083,0.051,0.198,0.114
1644.2,0.988,0.0925,0.033,0.189,0.111
1652.1,0.949,0.0702,0.056,0.207,0.108
